Site Name,Type of Site,Date,Furnaces,Ironworking
Clonrud 4,Isolated Metalworking,LBA/EIA,2,Smelting
Grange,Isolated Metalworking,EIA,1,Smelting
Kinnegad 2,Isolated Metalworking,EIA,3,Smelting and Smithing
Lagavooren 7,Structure,EIA,2,Smelting
Parksgrove 1,Isolated Metalworking,EIA,1,Smithing
Rossan 6,Isolated Metalworking,EIA,3,Smelting and Smithing
"Site 27, Rath",Structure/Burial,EIA,2,Smelting and Smithing
"Site B, Ballydavis",Isolated Metalworking,EIA,2,Smelting
"Site L, Lughil",Isolated Metalworking,EIA,5,Smelting
Cherryville Site 12,Isolated Metalworking,EIA/DIA,4,Smelting and Smithing
DKIT,Isolated Metalworking,EIA/DIA,1,Smelting
Morett,Burial,EIA/DIA,4,Smelting
"Site AR 26, Ballydavid",Enclosure,EIA/DIA,6,Smelting
Derrinsallagh 5,Isolated Metalworking,EIA/DIA/LIA,1,Smelting
Hardwood 3,Isolated Metalworking,EIA/Medieval,7,Smelting and Smithing
Carrickmines Great,Structure,DIA,1,Smelting
Chapelbride 1,Isolated Metalworking,DIA,1,Smithing
Cloncollog 2,Isolated Metalworking,DIA,1,Smelting
Gormagh 1,Isolated Metalworking,DIA,1,Smithing
Johnstown 3,Isolated Metalworking,DIA,2,Smelting
Kilrussane AR 27,Isolated Metalworking,DIA,4,Smelting
Knockcommane 4700.1b,Structure,DIA,1,Smelting
Leap 1,Isolated Metalworking,DIA,1,Smelting
Monganstown 1,Isolated Metalworking,DIA,6,Smelting and Smithing
Moyally 2,Isolated Metalworking,DIA,3,Smelting and Smithing
Moyvalley 1,Isolated Metalworking,DIA,1,Smithing
Mullagh,Isolated Metalworking,DIA,1,Smelting
Newrath Site 35,Isolated Metalworking,DIA,6,Smelting
"Ráith na Ríg, Tara",Other,DIA,1,Smithing
Trantstown AR 29,Isolated Metalworking,DIA,2,Smelting
Ballinvinny North AR26,Isolated Metalworking,DIA/LIA,1,Smelting
Derrinsallagh 4,Structure,DIA/LIA,44,Smelting
Derryvorrigan 1,Structure,DIA/LIA,8,Smelting
Harlockstown 19,Structure/Burial,DIA/LIA,1,Smelting and Smithing
Lisnagar Demesne 1,Isolated Metalworking,DIA/LIA,1,Smelting and Smithing
